gsv_panoid,gsv_lat,gsv_lng
h1iK0uPWMzJt4cRx1AjtVA,51.68801717,-0.136795351
z7wgN0jeNfeOjh6cgD-lnw,51.61048713,-0.137739316
jYAvGv__A4JSm9tBjhWgAg,51.58945712,-0.20211624
B_kLuvXM38oJksDM7BZ9dg,51.57937439,-0.213545227
m4tSajUuZg4pa8A5wOIX6g,51.6117345,-0.0488849
dquTk1L3xUiWEG0j1DyyxQ,51.61167929,-0.043101407
dijVuuiiTBRL_yCWvwYGDg,51.60967654,-0.030642361
i1qPQSmgvLhV5-dwAjtQoQ,51.59944725,0.001158044
Bt9cDwGp2XA0C5hV_YHc4g,51.58342713,-0.07228669
sy44lI831GJ7bPXpWPOjrA,51.55872157,-0.470150425
YUCtR-q99U09IBJHgFo_bg,51.49565122,-0.452888886
v0ksKFXzzwJFBJjkoDn4hw,51.492407,-0.494642
iPguYC8RedDMHZd2l3LsgQ,51.48702746,-0.497111305
5zq92T3PtKm876_5fb6bpQ,51.48529539,-0.499219241
03sGp8IuJI_Y6IMNwv2vrg,51.4843609,-0.500200173
IvYpRf8xrLs2JTmRKzGUvg,51.4834665,-0.500594
U5cC1e6tQV4FRK7aZQG7bA,51.4826968,-0.5012674
bcQnk3b9leFNh_qEwJNLfA,51.4817672,-0.5024405
8LBRPL74x-3iTrhrFgKZIg,51.48086963,-0.502530718
uq2E_xgFCtzUBYPYFFnekg,51.4800106,-0.5029821
fYyyfX2rxmfSWLiEqE4wwg,51.47638015,-0.504412818
bqibUYNN4Aa4eM4OMinz2w,51.472764,-0.5054326
KuoOvDxwzSsTw_HTCx6pMg,51.57314733,-0.223724869
euqrDxgIIlyptsClPYkDqw,51.56974719,-0.238333527
gcSS2zYwKMgla62EMHyyYQ,51.57007246,-0.237225085
MsiWWZZtUqElTj9-l04ABg,51.569148,-0.2398858
vbqmStyEan0SZj4MyqVELA,51.56733914,-0.244326659
5FGhGWvKAvkYIvMSLocMpw,51.56644355,-0.247476038
VdQFXYT8aIHwfhFUbBETcg,51.5667294,-0.246170469
xpNw0yk1koJGvhIU9MtcsA,51.56543944,-0.249884262
8UT3YbvFdiFxbuDwVj6seg,51.56362158,-0.25171068
NL90dm6gCHtS6wXiG7gixA,51.55920734,-0.25360478
GkvB0CMW_hpo1p-x5dt_bw,51.554703,-0.25318087
HsSl58sPFTdc6p71UXNVoQ,51.55379184,-0.25388139
i8JU5sRcLs2eUzE_MIcY3A,51.5535889,-0.293809203
8DZHFuCPBsdqdhRsAU1ZNA,51.55036181,-0.18297432
5UiM4qkBxT7lIYpQaDX0cQ,51.5499222,-0.1821213
CfR88Ek_14_O6YztpwdgHQ,51.54949602,-0.262796771
Za7UNSaD8CAoiPVee59Tiw,51.54821606,-0.180686072
bqGDes9WFoaWgo90sFb7FA,51.5485648,-0.263582886
9GtO0OU9qME_7zIIN8_igw,51.54731341,-0.179950461
ggNeqcChpwVrUZIXWMozBg,51.54642645,-0.179022835
PxEVxFV2TqYs8XFl7tb75A,51.543646,-0.174952
nJwrZ_FLayvmtP_Fd700vA,51.54247541,-0.27526803
2pmpIsWxpMazaP1JRR-_rQ,51.5396732,-0.1416335
I-hCnVarHEYwLstPReFa6Q,51.53818476,-0.281367558
lrTfBYz9l6AkeNsEUejZhg,51.5371652,-0.2841846
2z_uEPaLm_u_lhJkLKE8lg,51.53761647,-0.282833823
oPkKdx-zdFnyPrmwUibbyQ,51.53627848,-0.285698057
1qt7hstHsf-_PvtLz0dnvQ,51.5346547,-0.288688469
P5U1EOSImPcy-JPqlZlNSg,51.53286099,-0.172427815
E6claP--zc9zZeWHZrx0dA,51.53279922,-0.291551066
H8cO8zB0HB8kEdv-mtVIFg,51.53022949,-0.16926615
4AAuouCqr54aRKOlcU0GpQ,51.52778026,-0.285999357
0OiD_1LfVusPK3sSfWFbRQ,51.5256227,-0.2716392
VuZSDeMSlv6poYsdghEdNQ,51.52357448,-0.158174036
vSxZjRjdZ09CKAANbX1yWA,51.5229749,-0.174267107
tp4shkPyiWrEE07phbrNIg,51.5226581,-0.1555215
jaxzIi27jiwK_syVyWc7AA,51.52196765,-0.158130882
_4ObLcz3TR_K8H2PESn6GA,51.52178518,-0.157346905
ae_NEgNT7DHItqj7wheZMg,51.5224993,-0.25834
xmiaQffmSC8bdWDSkfqZ6w,51.5209592,-0.1638763
xmxd6JGo2MkOp43il2N4bA,51.52166623,-0.263349282
vvbKD1pmROTCsCwWT6j-zw,51.52013407,-0.173909806
sr8o7RqZEaE1tFtPXJeMAA,51.52005174,-0.17009603
